ASHIRPRA01 (HIRAPARA)
DBNDA1 (DABONDIA)
BIJNI2 (BIJNI)
PATS02 (PATSALA)
TIAPR1 (TIYAPARA)
SIMLA1 (SIMLABARI)
PATS03 (PATSALA 03)
RUPSH1 (RUPSHI)
REHA01 (RAHA)
SUSLM6 (SOUTH SALMARA 06)
PTRCH3 (PATHACHAKUCHI)
KAIMR2 (KOIMARI)
AGMNI3 (AGOMONI)
DHLGA1 (BASBARI(BOITAMARI))
SLKGR1 (ULUBARI(BIJNI))
BAGUN1 (BAGUAN)
BATR01 (BATABARI)
JYFAR1 (JAIFAR)
BON005 (BONGAIGAON)
BLJTN1 (BALAJAN)
HTSG02 (HATSINGHIMARI 02)
AMTLI1 (SANDALARTARI)
TEMRA1 (TEMURA 01)
MNKCH2 (MANIKACHAR)
KHABN2 (KHOWRA BANDHA)
SUSLM3 (SOUTH SALMARA 03)
BTNKT1 (BHUTANHUTI)
PATS09 (PATSALA)
TUKRA1 (TUKRA BAZAR)
PATS05 (PATSALA)
JLSWR1 (JALESWAR)
BIJNI3 (BIJNI)
KRDIA1 (KHORIDA)
BGLDB1 (BANGALDOBA)
BHDRA1 (BHANDRA)
MNKCH4 (MANIKACHAR)
KHPBZ1 (KHOPATI BAZAR)
MNKCH1 (MANIKACHAR)
KAUHG3 (KOWAHAGI)
KALPN1 (KALAPANI)
PIPBR1 (PIPULBARI)
CHAP01 (CHAPAR)
CHRKW1 (CHIRAKHOWA)
ASGSB001 (SIDHABARI PART 2)
SRGRM2 (SRIGRAM)
TILPR1 (TILAPARA)
DOTM07 (DOTMA)
PATGN1 (PATGAON)
ITRVT2 (ITERVITA)
PTKTA1 (PATAKATA)
GRBZR1 (GARUBHASHA)
ATHBR1 (AITHABARI)
BAR019 (BARPETA)
HTSG01 (HATSINGHIMARI)
DOTM06 (DOTMA 06)
DLPRA1 (DOLUAPARA)
JANIA2 (BANGLIPARA)
GOKIT1 (GOKULHATA)
PTKTA3 (PATAKATA)
KOK004 (KOKRAJHAR 04)
TILPR2 (TILAPARA)
KHABN4 (KHOWRA BANDHA)
BHPUR1 (BHAGPUR)
BSKNA1 (BASUKONA)
NTYND2 (NIYTANANDA 02)
GOKIT3 (GOKULHATA)
GRNGR1 (GAURNAGAR)
ASBARPE021 (GAJIA)
ASGOSGN004 (OXIGURI)
ASBGG049 (DHALIGAON)
PTKTA8 (PATAKATA)
FKRGJ1 (FAKIRGANJ)
FRKHW1 (FEWRAKHOWA)
BHLGR1 (BHOWLAGURI)
BIJNI4 (BIJNI)
AGMNI2 (PURNI)
BRKNA1 (BARKONA)
ASPHLBRI01 (SARTHEBARI)
LKIPR1 (LAKHIPUR)
BRGLA2 (BARGHOLA)
BILPR2 (BILASHIPARA)
AGIA02 (AGIYA)
TUMNI1 (TUMNI)
CHKUI1 (CHIRAKUTI)
KYKCH2 (KOYAKUCHI)
BIJNI1 (BIJNI)
SUPTA1 (SONAMUKHI)
UDMRI1 (UDMARI)
FGUNG1 (FAGUNAGAON)
MOWMR1 (MOWAMARI)
SFNGR1 (SERFANGURI)
BON040 (BONGAIGAON 40)
CHKNI1 (CHIKNI)
FKMR01 (FEKAMARI)
CNDGR1 (CHANDAGURI)
SUTPR1 (RANGJULI)
KHPBZ3 (KHOPATI BAZAR)
SLMRA1 (SALMARA (BANDIKHANA))
BGUAN1 (BAGUWAN)
ISKHT1 (ISLAKHATA)
BTBI01 (BETBARI)
MNPR01 (BAR MANIKPUR)
KOK013 (KOKRAJHAR 13)
KHABN5 (KHARUABANDA)
MTCHR1 (MOTICHAR)
RKDU01 (RAKHALDUBI)
GRMCR1 (GARUMARACHAR)
STSIK4 (SATSHIA)
PATS04 (PATSALA)
DUTPR1 (BAMUNGAON)
KTLBR2 (KATHALBARI)
BMNVT1 (BAMUNIRVITA)
HOW001 (HAULI)
BON001 (BONGAIGAON)
KHRDR1 (KHARADHARA)
BAR001 (BARPETA)
CHKUI2 (CHIRAKUTI)
JLSWR6 (JALESWAR)
REVER1 (REVER BLOCK II)
MNDIA1 (MONDIYA 01)
LKIBZ1 (LAKHI BAZAR)
KHABN3 (KHOWRA BANDHA)
RKLDB3 (CHAPRAKATA)
MOISA1 (MOISHA)
NSLM02 (NORTH SALMARA)
KLIBR1 (KOLIABARI)
ASHLGIRI01 (HALGIRIGHAT)
FKRGM2 (FAKIRAGRAM)
KZKTA2 (KAZIKATA)
ASSAONGN01 (SAONAGAON)
BGHMR1 (BAGHMARA)
DNGPR1 (DONGPAR)
SKMNH1 (SUKMANAH)
KHBTA1 (GAIBANDA)
SIMAL2 (SIMLABARI)
GOSG01 (GOSSAIGAON)
MNKSA1 (NEPALIKHUTI)
ABHPY3 (ABHYAPURI)
PATGN4 (PATGAON)
STBR01 (SARTHAIBARI)
FALMR1 (FALIMARI)
CTBGN1 (HASRAOBARI)
TPPRA1 (SINGIMARI)
ASMRJPTR01 (Jakhlibilor Pather)
BHLKD1 (BHAISHKHULI)
SBABL1 (KERKABARI)
BON044 (KAJALGAON TOWN)
KOKHW2 (SHYAMGAON)
GOLP03 (GOALPARA)
GOSG02 (GOSSAIGAON)
BDUNV1 (BODOLAND UNIVERSITY)
SORBG6 (SARBHOG)
