Product Code,Product Name,Variant,Expected,Counted
000022071RD-PB,BEARING CR'SFT F/C TOP STD BIM,,0,
000022073RD,NUT (HEX 1X14 UNF 3 X 22.0 X DIN 17200),,0,
000022073RD-PB,NUT HEX 1 X 14 UNF 3 X 22.0 X DIN 17200-,,0,
000022075RD,WASHER PLAIN (G26X52X4.4),,0,
000022075RD-PB,WASHER PLAIN G26X52X4.4,,0,
000022079RD,WASHER PLAIN (G10.5X21X2),,0,
000022079RD-PB,WASHER PLAIN G10.5X21X2,,0,
000022086RD,SEAT VALVE EXHAUST,,0,
000022086RD-PB,SEAT VALVE EXHAUST,,0,
000022087RD,SEAT VALVE INLET,,0,
000022088RD,PLATE FRONT CRANKCASE,,0,
000022104RD,CAM SHAFT - 4 CYL DI,,0,
000022121RD,CRANKSHAFT,,0,
000022121RD-PB,CRANKSHAFT CPT FOR 4335GM,,0,
000022122RD,BEARING CRANK SHAFT,,0,
000022122RD-PB,SET BEARING CR'SFT MAIN STD-BI,,0,
000022144RD,CRANK SHAFT BEARING,,0,
000022156RD,BEARING (CRANK SHAFT REAR BTM STD BIM),,0,
000022156RD-PB,BEARING CR'SFT RER BTM-STD-BIM,,0,
000022157RD,BEARING (CRANK SHAFT F/C BTM STD BIM),,0,
000022157RD-PB,BEARING CR'SFT F/C BTM-STD-BIM,,0,
000022168RD,GASKET FIP,,0,
000022168RD-PB,GASKET F.I.P.,,0,
000022171RD,CLAMP NOZZLE HOLDER(DI),,0,
000022171RD-PB,CLAMP NOZZLE HOLDER(DI),,0,
000022174RD,BUSH (46.775X50.127X28.01),,0,
000022176RD,BRACKET FUEL FILTER MTG,,0,
000022176RD-PB,BRACKET FUEL FILTER MTG,,0,
000022177RD,MANIFOLD INTAKE (4DI),,0,
000022177RD-PB,MANIFOLD INTAKE 4DI,,0,
000022201RD,CLAMP (INJECTION PIPE MALE),,0,
2.22E+17,HEAD CYLINDER ASSY FOR 4 DI(21 X 7.6),,0,
000022202E13-PB,HEAD CYLINDER ASSY FOR 4 DI(21 X 7.6),,0,
000022202RD,CLAMP FEMALE,,0,
000022206RD,BOLT (HEX M6X1X16X8.8),,0,
000022208RD,ADAPTOR FIP LUB PIPE,,0,
000022208RD-PB,ADAPTOR FIP LUB PIPE,,0,
000022219RD,ADAPTOR SPIGOT F I P DRIVE -DI,,0,
000022237RD,BUSH BI-MET  28.000X30.975X25.00,,0,
000022265RD,GUIDE VALVE STEM,,0,
000022271RD,BOLT (M8 X 1.25 X 22),,0,
000022273RD,WASHER SPRING (M10X18X2.2),,0,
000022277RD,PIPE FUEL INJECTION  NO 1,,0,
000022277RD-PB,PIPE CPT FUEL INJ NO 1,,0,
000022278RD,PIPE FUEL INJECTION  NO 2,,0,
000022278RD-PB,PIPE CPT FUEL INJ NO.2,,0,
000022279RD,PIPE FUEL INJECTION  NO 3,,0,
000022279RD-PB,PIPE CPT FUEL INJ NO 3,,0,
000022280RD,PIPE FUEL INJECTION  NO 4,,0,
000022280RD-PB,PIPE CPT FUEL INJ NO 4,,0,
000022289RD,PLUG WATER JET,,0,
000022306RD,BOLT BANJO      9 431 033 422,,0,
000022306RD-PB,BOLT BANJO      9 431 033 422,,0,
000022307RD,WASHER BANJO BOLT2 916 710 602,,0,
000022307RD-PB,WASHER BANJO BOLT2 916 710 602,,0,
000024550D,PIN DOWEL (11.113X28.575),,0,
000024550D-PB,PIN DOWEL 11.113X28.575,,0,
000026058D,SCREW (HEX HEAD 9.52 X 1.59 X 20.70 X 5),,0,
000030020R1,BOLT (HEX M10X1.5X25X8.8),,0,
000030024R1,BOLT (HEX M10X1.5X45X8.8),,0,
000030184R1,WASHER PLAIN (G10X24X5),,0,
000032145B12,BOLT HEX (12.7 X 44.45 X 8),,0,
000032145B12-PB,BOLT HEX G 12.7 X 44.45 X 8,,0,
000032373B12,WASHER RETAINER BULL GEAR,,0,
000032843B12,WASHER FELT,,0,
000032856B12,ADAPTOR GEAR DRIVEN 4TH SPEED-SYNCH,,0,
000033019B12,STICKER FOR HY TORQUE - 605DI(N moving),,0,
000040001C01,ALTERNATOR 36 A W/PULLEY-LUCAS,,0,
000040344C08,SLEEVE BOLT FRONT AXLE,,0,
000041615C11,OIL PRESSURE TRANSDUCER C40076,,0,
000041615C11-PB,OIL PRESSURE TRANSDUCER C40076,,0,
000041658C08,"END ASSY. TIE ROD, ADJ. ROD QH",,0,
000041906C11,HOSE AIR INTAKE(INLET MANIFOLD,,0,
000041906C11-PB,HOSE AIR INTAKE(INLET MANIFOLD,,0,
000050859D02,CYLINDER HEAD 60HP,,0,
000050961D99,WASHER TOP LINK HOOK,,0,
000051215D01,(ALT 007204033B1) HYDRAULIC FILTER,,0,
000051256D01,CLAMP HYADRAULIC PIPE,,0,
000051685D01,COUPLING STRAIGHT (OD 12 MM),,0,
000060340M02,PANEL SIDE ASSEMBLY RH,,0,
000060434M01,BOLT (HEX M6X1X16X8.8),,0,
000060532M01,BRACKET BUMPER,,0,
000060683M01,NUT NYLOC (M6X1X7.5X8),,0,
000060684M01,BOLT HEX (M8X1.25X35X8.8),,0,
000060686M01,WASHER PLAIN (M8),,0,
000060691M01,CLUTCH PEDAL MTG.BRACKET CPTE - ARJ,,0,
000061046M01,BOLT HEX (M6X1X25X8.8),,0,
000061197M01,WING NUT (M6),,0,
000061341M02,STEERING WHEEL CAP SMALLER-MUSA,,0,
000061374C08,GUARD ALTERNATOR (ARJUN),,0,
000067205D,SPRING (ROD HOLD DOWN),,0,
000067205D-PB,SPRING ROD HOLD DOWN,,0,
0000MDIPC01,Parts Catalogue for Regular Tractors,,0,
0000MDIPC02,"PARTS CATALOG FOR REGULAR TRACTORS, ED-",,0,
000133093R1,NUT HEX G9.525X1.06X8.45,,0,
000218211-PB,KEY WOODRUFF 1/4 X 3/4,,0,
000218217-PB,KEY WOODRUFF 3/16 X 5/8,,0,
000265923R1,PIN SPRING DOWEL 4.8768X1.016X31.75,,0,
000340340R1,BOLT (HEX G 12.7X1.95X38.1X10.9),,0,
000377952R1,O RING (13.945X2.62),,0,
000387374R1,RING 3-RING CYL BRG,,0,
000703636R1,WASHER TAB,,0,
000703636R1-PB,WASHER TAB,,0,
000703829R1,BUSH BI-MET  38.164X41.427X20.08,,0,
000703832R1,STUD BOTH ENDS (G9.525X1.59X60.325X2),,0,
000703840R1,GASKET,,0,
000703850R2,PLATE HYD PUMP OPNG COVER (DUMMY),,0,
000703851R1,GASKET HYDRAULIC PUMP (H3),,0,
000703851R2,GASKET (COVER HYD PUMP OPENING),,0,
000703852R1,GEAR IDLER,,0,
000703852R1-PB,GEAR IDLER,,0,
000703853R4,SHAFT IDLER GEAR,,0,
000703853R4-PB,IDLER GEAR SHAFT,,0,
000703853R41,SHAFT CPT IDLER GEAR,,0,
000703853R41-PB,SHAFT CPT IDLER GEAR,,0,
000703865R1,PINION CRANKSHAFT,,0,
000703865R1-PB,PINION CRANKSHAFT,,0,
000703883R7,GASKET CYLINDER HEAD-BANCO/TAL,,0,
000704107R3,PINION OIL PUMP DRIVE,,0,
000704165R2,GASKET MANIFOLD,,0,
000704165R2-PB,GASKET MANIFOLD,,0,
